store_number,mgmtintname,ip_address,brand
IBR-BWW-00280_2,LAN,10.96.237.1,BWW
IBR-BWW-00282_2,LAN,10.96.239.1,BWW
IBR-BWW-00283_2,LAN,10.96.240.1,BWW
IBR-BWW-00284_2,LAN,10.96.241.1,BWW
IBR-BWW-00285_2,LAN,10.96.242.1,BWW
IBR-BWW-00286_2,LAN,10.96.243.1,BWW
IBR-BWW-00288_2,LAN,10.96.245.1,BWW
IBR-BWW-00289_2,LAN,10.96.246.1,BWW
IBR-BWW-00291_2,LAN,10.96.248.1,BWW
IBR-BWW-00292_2,LAN,10.96.249.1,BWW
IBR-BWW-00293_2,LAN,10.96.250.1,BWW
IBR-BWW-00294_2,LAN,10.96.251.1,BWW
IBR-BWW-00295_2,LAN,10.96.252.1,BWW
IBR-BWW-00296_2,LAN,10.96.253.1,BWW
IBR-BWW-00297_2,LAN,10.96.254.1,BWW
IBR-BWW-00298_2,LAN,10.96.255.1,BWW
IBR-BWW-00299_2,LAN,10.97.0.1,BWW
IBR-BWW-00300_2,LAN,10.97.1.1,BWW
IBR-BWW-00301_2,LAN,10.97.2.1,BWW
IBR-BWW-00302_2,LAN,10.97.3.1,BWW
IBR-BWW-00303_2,LAN,10.97.4.1,BWW
IBR-BWW-00304_2,LAN,10.97.5.1,BWW
IBR-BWW-00305_2,LAN,10.97.6.1,BWW
IBR-BWW-00306_2,LAN,10.97.7.1,BWW
IBR-BWW-00308_2,LAN,10.97.9.1,BWW
IBR-BWW-00309_2,LAN,10.97.10.1,BWW
IBR-BWW-00310_2,LAN,10.97.11.1,BWW
IBR-BWW-00311_2,LAN,10.97.12.1,BWW
IBR-BWW-00312_2,LAN,10.97.13.1,BWW
IBR-BWW-00313_2,LAN,10.97.14.1,BWW
IBR-BWW-00314_2,LAN,10.97.15.1,BWW
IBR-BWW-00315_2,LAN,10.97.16.1,BWW
IBR-BWW-00317_2,LAN,10.97.18.1,BWW
IBR-BWW-00318_2,LAN,10.97.19.1,BWW
IBR-BWW-00319_2,LAN,10.97.20.1,BWW
IBR-BWW-00320_2,LAN,10.97.21.1,BWW
IBR-BWW-00321_2,LAN,10.97.22.1,BWW
IBR-BWW-00322_2,LAN,10.97.23.1,BWW
IBR-BWW-00323_2,LAN,10.97.24.1,BWW
IBR-BWW-00326_2,LAN,10.97.27.1,BWW
IBR-BWW-00327_2,LAN,10.97.28.1,BWW
IBR-BWW-00328_2,LAN,10.97.29.1,BWW
IBR-BWW-00329_2,LAN,10.97.30.1,BWW
IBR-BWW-00330_2,LAN,10.97.31.1,BWW
IBR-BWW-00331_2,LAN,10.97.32.1,BWW
IBR-BWW-00332_2,LAN,10.97.33.1,BWW
IBR-BWW-00333_2,LAN,10.97.34.1,BWW
IBR-BWW-00334_2,LAN,10.97.35.1,BWW
IBR-BWW-00335_2,LAN,10.97.36.1,BWW
IBR-BWW-00336_2,LAN,10.97.37.1,BWW
IBR-BWW-00338_2,LAN,10.97.38.1,BWW
IBR-BWW-00339_2,LAN,10.97.39.1,BWW
IBR-BWW-00340_2,LAN,10.97.40.1,BWW
IBR-BWW-00341_2,LAN,10.97.41.1,BWW
IBR-BWW-00342_2,LAN,10.97.42.1,BWW
IBR-BWW-00343_2,LAN,10.97.43.1,BWW
IBR-BWW-00344_2,LAN,10.97.44.1,BWW
IBR-BWW-00345_2,LAN,10.97.45.1,BWW
IBR-BWW-00346_2,LAN,10.97.46.1,BWW
IBR-BWW-00347_2,LAN,10.97.47.1,BWW
IBR-BWW-00348_2,LAN,10.97.48.1,BWW
IBR-BWW-00349_2,LAN,10.97.49.1,BWW
IBR-BWW-00350_2,LAN,10.97.50.1,BWW
IBR-BWW-00351_2,LAN,10.97.51.1,BWW
IBR-BWW-00352_2,LAN,10.97.52.1,BWW
IBR-BWW-00353_2,LAN,10.97.53.1,BWW
IBR-BWW-00354_2,LAN,10.97.54.1,BWW
IBR-BWW-00355_2,LAN,10.97.55.1,BWW
IBR-BWW-00357_2,LAN,10.97.57.1,BWW
IBR-BWW-00358_2,LAN,10.97.58.1,BWW
IBR-BWW-00359_2,LAN,10.97.59.1,BWW
IBR-BWW-00361_2,LAN,10.97.61.1,BWW
IBR-BWW-00362_2,LAN,10.97.62.1,BWW
IBR-BWW-00363_2,LAN,10.97.63.1,BWW
IBR-BWW-00365_2,LAN,10.97.65.1,BWW
IBR-BWW-00366_2,LAN,10.97.66.1,BWW
IBR-BWW-00367_2,LAN,10.97.67.1,BWW
IBR-BWW-00368_2,LAN,10.97.68.1,BWW
IBR-BWW-00369_2,LAN,10.97.69.1,BWW
IBR-BWW-00371_2,LAN,10.97.71.1,BWW
IBR-BWW-00372_2,LAN,10.97.72.1,BWW
IBR-BWW-00374_2,LAN,10.97.74.1,BWW
IBR-BWW-00375_2,LAN,10.97.75.1,BWW
IBR-BWW-00376_2,LAN,10.97.76.1,BWW
IBR-BWW-00377_2,LAN,10.97.77.1,BWW
IBR-BWW-00378_2,LAN,10.97.78.1,BWW
IBR-BWW-00381_2,LAN,10.97.81.1,BWW
IBR-BWW-00382_2,LAN,10.97.82.1,BWW
IBR-BWW-00383_2,LAN,10.97.83.1,BWW
