store_number,mgmtintname,ip_address,brand
ARG01662,internal,10.215.153.1,Arbys
ARG01664,internal,10.212.87.1,Arbys
ARG01665,internal,10.210.117.1,Arbys
ARG01666,internal,10.212.178.1,Arbys
ARG01667,internal,10.208.19.1,Arbys
ARG01674,internal,10.213.216.1,Arbys
ARG01675,internal,10.212.26.1,Arbys
ARG01691,internal,10.213.80.1,Arbys
ARG01700,internal,10.211.221.1,Arbys
ARG01705,internal,10.210.1.1,Arbys
ARG01715,internal,10.211.123.1,Arbys
ARG01735,internal,10.211.148.1,Arbys
ARG01742,internal,10.212.118.1,Arbys
ARG01743,internal,10.215.154.1,Arbys
ARG01744,internal,10.211.228.1,Arbys
ARG01747,internal,10.211.223.1,Arbys
ARG01748,internal,10.212.62.1,Arbys
ARG01769,internal,10.213.16.1,Arbys
ARG01773,internal,10.211.13.1,Arbys
ARG01776,internal,10.210.131.1,Arbys
ARG01777,internal,10.212.91.1,Arbys
ARG01779,internal,10.211.5.1,Arbys
ARG01783,internal,10.213.176.1,Arbys
ARG01786,internal,10.213.252.1,Arbys
ARG01800,internal,10.215.156.1,Arbys
ARG01802,internal,10.210.207.1,Arbys
ARG01807,internal,10.215.157.1,Arbys
ARG01815,internal,10.212.81.1,Arbys
ARG01816,internal,10.208.108.1,Arbys
ARG01820,internal,10.211.227.1,Arbys
ARG01821,internal,10.211.149.1,Arbys
ARG01830,internal,10.210.163.1,Arbys
ARG01831,internal,10.211.185.1,Arbys
ARG01832,internal,10.213.46.1,Arbys
ARG01833,internal,10.211.76.1,Arbys
ARG01838,internal,10.211.229.1,Arbys
ARG01839,internal,10.212.19.1,Arbys
ARG01846,internal,10.215.158.1,Arbys
ARG01850,internal,10.211.98.1,Arbys
ARG01852,internal,10.212.80.1,Arbys
ARG01853,internal,10.213.73.1,Arbys
ARG01854,internal,10.212.131.1,Arbys
ARG01857,internal,10.212.119.1,Arbys
ARG01858,internal,10.212.76.1,Arbys
ARG01864,internal,10.210.142.1,Arbys
ARG01865,internal,10.215.159.1,Arbys
ARG01867,internal,10.210.175.1,Arbys
ARG01875,internal,10.212.79.1,Arbys
ARG01877,internal,10.210.146.1,Arbys
ARG01878,internal,10.208.53.1,Arbys
ARG01883,internal,10.211.40.1,Arbys
ARG01884,internal,10.211.110.1,Arbys
ARG01886,internal,10.215.160.1,Arbys
ARG01889,internal,10.210.147.1,Arbys
ARG01891,internal,10.215.161.1,Arbys
ARG01893,internal,10.210.216.1,Arbys
ARG01900,internal,10.213.243.1,Arbys
ARG01911,internal,10.215.162.1,Arbys
ARG01913,internal,10.212.57.1,Arbys
ARG01916,internal,10.213.59.1,Arbys
ARG01925,internal,10.210.208.1,Arbys
ARG01933,internal,10.212.165.1,Arbys
ARG01948,internal,10.213.215.1,Arbys
ARG01952,internal,10.210.149.1,Arbys
ARG01956,internal,10.212.86.1,Arbys
ARG01957,internal,10.213.17.1,Arbys
ARG01961,internal,10.213.180.1,Arbys
ARG01962,internal,10.215.163.1,Arbys
ARG01979,internal,10.213.18.1,Arbys
ARG01982,internal,10.214.27.1,Arbys
ARG01988,internal,10.211.146.1,Arbys
ARG01991,internal,10.211.224.1,Arbys
ARG05001,internal,10.213.45.1,Arbys
ARG05003,internal,10.208.138.1,Arbys
ARG05010,internal,10.210.21.1,Arbys
ARG05012,internal,10.213.66.1,Arbys
ARG05015,internal,10.211.38.1,Arbys
ARG05021,internal,10.212.249.1,Arbys
ARG05026,internal,10.215.164.1,Arbys
ARG05028,internal,10.210.177.1,Arbys
ARG05029,internal,10.213.29.1,Arbys
ARG05036,internal,10.212.217.1,Arbys
ARG05044,internal,10.211.95.1,Arbys
ARG05054,internal,10.211.201.1,Arbys
ARG05075,internal,10.211.64.1,Arbys
ARG05086,internal,10.213.175.1,Arbys
ARG05092,internal,10.211.85.1,Arbys
ARG05097,internal,10.211.207.1,Arbys
ARG05105,internal,10.212.64.1,Arbys
ARG05113,internal,10.215.165.1,Arbys
ARG05115,internal,10.212.172.1,Arbys
ARG05126,internal,10.210.152.1,Arbys
ARG05127,internal,10.212.78.1,Arbys
ARG05131,internal,10.212.34.1,Arbys
ARG05132,internal,10.213.122.1,Arbys
ARG05135,internal,10.213.207.1,Arbys
ARG05136,internal,10.211.137.1,Arbys
ARG05140,internal,10.213.43.1,Arbys
ARG05151,internal,10.211.9.1,Arbys
ARG05154,internal,10.212.46.1,Arbys
ARG05169,internal,10.211.215.1,Arbys
ARG05175,internal,10.211.151.1,Arbys
ARG05177,internal,10.210.237.1,Arbys
ARG05183,internal,10.212.49.1,Arbys
ARG05187,internal,10.213.30.1,Arbys
ARG05198,internal,10.213.211.1,Arbys
ARG05227,internal,10.208.240.1,Arbys
ARG05232,internal,10.210.5.1,Arbys
ARG05237,internal,10.212.148.1,Arbys
ARG05238,internal,10.212.33.1,Arbys
ARG05239,internal,10.208.147.1,Arbys
ARG05245,internal,10.211.202.1,Arbys
ARG05249,internal,10.213.221.1,Arbys
ARG05254,internal,10.213.250.1,Arbys
ARG05255,internal,10.208.113.1,Arbys
ARG05256,internal,10.212.120.1,Arbys
ARG05259,internal,10.208.123.1,Arbys
ARG05281,internal,10.213.31.1,Arbys
ARG05301,internal,10.211.213.1,Arbys
ARG05302,internal,10.208.136.1,Arbys
ARG05312,internal,10.211.216.1,Arbys
ARG05315,internal,10.213.178.1,Arbys
ARG05325,internal,10.208.30.1,Arbys
ARG05341,internal,10.212.240.1,Arbys
ARG05351,internal,10.213.51.1,Arbys
ARG05358,internal,10.213.179.1,Arbys
ARG05359,internal,10.212.203.1,Arbys
ARG05390,internal,10.213.214.1,Arbys
ARG05391,internal,10.210.204.1,Arbys
ARG05392,internal,10.213.200.1,Arbys
ARG05398,internal,10.210.243.1,Arbys
ARG05412,internal,10.212.135.1,Arbys
ARG05415,internal,10.211.57.1,Arbys
ARG05421,internal,10.211.163.1,Arbys
ARG05422,internal,10.212.239.1,Arbys
ARG05424,internal,10.208.156.1,Arbys
ARG05426,internal,10.211.120.1,Arbys
ARG05428,internal,10.212.65.1,Arbys
ARG05430,internal,10.212.138.1,Arbys
ARG05440,internal,10.208.31.1,Arbys
ARG05446,internal,10.211.94.1,Arbys
ARG05450,internal,10.212.237.1,Arbys
ARG05453,internal,10.212.136.1,Arbys
ARG05456,internal,10.211.84.1,Arbys
ARG05457,internal,10.212.51.1,Arbys
ARG05461,internal,10.208.32.1,Arbys
ARG05475,internal,10.211.10.1,Arbys
ARG05489,internal,10.213.206.1,Arbys
ARG05506,internal,10.212.175.1,Arbys
ARG05512,internal,10.211.83.1,Arbys
ARG05515,internal,10.211.82.1,Arbys
ARG05518,internal,10.213.58.1,Arbys
ARG05522,internal,10.211.96.1,Arbys
ARG05531,internal,10.211.99.1,Arbys
ARG05533,internal,10.208.175.1,Arbys
ARG05534,internal,10.211.92.1,Arbys
ARG05540,internal,10.212.174.1,Arbys
ARG05541,internal,10.210.238.1,Arbys
ARG05553,internal,10.212.36.1,Arbys
ARG05563,internal,10.210.210.1,Arbys
ARG05564,internal,10.212.154.1,Arbys
ARG05566,internal,10.212.32.1,Arbys
ARG05567,internal,10.211.152.1,Arbys
ARG05580,internal,10.210.6.1,Arbys
ARG05590,internal,10.208.130.1,Arbys
ARG05593,internal,10.211.54.1,Arbys
ARG05598,internal,10.212.45.1,Arbys
ARG05607,internal,10.212.173.1,Arbys
ARG05609,internal,10.213.48.1,Arbys
ARG05617,internal,10.211.162.1,Arbys
ARG05629,internal,10.208.177.1,Arbys
ARG05632,internal,10.208.225.1,Arbys
ARG05641,internal,10.212.96.1,Arbys
ARG05643,internal,10.210.228.1,Arbys
ARG05648,internal,10.210.79.1,Arbys
ARG05651,internal,10.212.224.1,Arbys
ARG05652,internal,10.211.28.1,Arbys
ARG05658,internal,10.213.165.1,Arbys
ARG05662,internal,10.208.77.1,Arbys
ARG05664,internal,10.211.153.1,Arbys
ARG05669,internal,10.213.94.1,Arbys
ARG05684,internal,10.213.138.1,Arbys
ARG05687,internal,10.211.164.1,Arbys
ARG05688,internal,10.215.166.1,Arbys
ARG05689,internal,10.215.167.1,Arbys
ARG05690,internal,10.215.168.1,Arbys
ARG05691,internal,10.210.173.1,Arbys
ARG05695,internal,10.210.205.1,Arbys
ARG05700,internal,10.213.142.1,Arbys
ARG05701,internal,10.210.248.1,Arbys
ARG05708,internal,10.208.164.1,Arbys
ARG05712,internal,10.208.144.1,Arbys
ARG05714,internal,10.212.66.1,Arbys
ARG05728,internal,10.210.20.1,Arbys
ARG05743,internal,10.210.141.1,Arbys
ARG05744,internal,10.214.28.1,Arbys
ARG05754,internal,10.208.39.1,Arbys
ARG05777,internal,10.211.209.1,Arbys
ARG05789,internal,10.212.157.1,Arbys
